# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_ms1.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.267095e-04 8.658545e+00 2.809752e-01 2.849496e-01 8.941800e+00 2.602651e+06 3.328065e-04 9.141192e+00
 3.274102e-04 8.655348e+00 2.824474e-01 2.864705e-01 8.940100e+00 2.543792e+06 3.335352e-04 9.140243e+00
 3.281125e-04 8.652244e+00 2.839271e-01 2.879994e-01 8.938500e+00 2.486263e+06 3.342656e-04 9.139399e+00
 3.288163e-04 8.649231e+00 2.854143e-01 2.895365e-01 8.937000e+00 2.430092e+06 3.349977e-04 9.138661e+00
 3.295216e-04 8.646211e+00 2.869092e-01 2.910817e-01 8.935500e+00 2.375246e+06 3.357314e-04 9.137925e+00
 3.302283e-04 8.643282e+00 2.884117e-01 2.926350e-01 8.934100e+00 2.321581e+06 3.364669e-04 9.137295e+00
 3.309367e-04 8.640346e+00 2.899218e-01 2.941966e-01 8.932700e+00 2.269181e+06 3.372040e-04 9.136666e+00
 3.316465e-04 8.637502e+00 2.914396e-01 2.957664e-01 8.931400e+00 2.217909e+06 3.379427e-04 9.136144e+00
 3.323578e-04 8.634650e+00 2.929651e-01 2.973444e-01 8.930100e+00 2.167847e+06 3.386832e-04 9.135623e+00
 3.330707e-04 8.631890e+00 2.944984e-01 2.989307e-01 8.928900e+00 2.118965e+06 3.394254e-04 9.135209e+00
 3.337851e-04 8.629222e+00 2.960393e-01 3.005254e-01 8.927800e+00 2.071185e+06 3.401693e-04 9.134900e+00
 3.345010e-04 8.626545e+00 2.975881e-01 3.021284e-01 8.926700e+00 2.024480e+06 3.409149e-04 9.134593e+00
 3.352185e-04 8.623861e+00 2.991447e-01 3.037398e-01 8.925600e+00 1.978827e+06 3.416622e-04 9.134289e+00
 3.359375e-04 8.621269e+00 3.007091e-01 3.053596e-01 8.924600e+00 1.934202e+06 3.424112e-04 9.134091e+00
 3.366581e-04 8.618768e+00 3.022814e-01 3.069879e-01 8.923700e+00 1.890629e+06 3.431619e-04 9.133998e+00
 3.373802e-04 8.616259e+00 3.038615e-01 3.086246e-01 8.922800e+00 1.847989e+06 3.439143e-04 9.133908e+00
 3.381038e-04 8.613843e+00 3.054496e-01 3.102699e-01 8.922000e+00 1.806401e+06 3.446685e-04 9.133924e+00
 3.388290e-04 8.611417e+00 3.070456e-01 3.119237e-01 8.921200e+00 1.765702e+06 3.454244e-04 9.133943e+00
 3.395558e-04 8.608984e+00 3.086496e-01 3.135861e-01 8.920400e+00 1.726007e+06 3.461821e-04 9.133964e+00
 3.402841e-04 8.606642e+00 3.102616e-01 3.152571e-01 8.919700e+00 1.687160e+06 3.469415e-04 9.134091e+00
 3.410140e-04 8.604392e+00 3.118816e-01 3.169368e-01 8.919100e+00 1.649228e+06 3.477026e-04 9.134324e+00
 3.417454e-04 8.602134e+00 3.135096e-01 3.186252e-01 8.918500e+00 1.612063e+06 3.484655e-04 9.134560e+00
 3.424784e-04 8.599867e+00 3.151457e-01 3.203222e-01 8.917900e+00 1.575816e+06 3.492301e-04 9.134798e+00
 3.432130e-04 8.597692e+00 3.167900e-01 3.220280e-01 8.917400e+00 1.540382e+06 3.499965e-04 9.135143e+00
 3.439492e-04 8.595608e+00 3.184423e-01 3.237426e-01 8.917000e+00 1.505823e+06 3.507647e-04 9.135594e+00
 3.446869e-04 8.593516e+00 3.201028e-01 3.254660e-01 8.916600e+00 1.471959e+06 3.515346e-04 9.136047e+00
 3.454262e-04 8.591416e+00 3.217716e-01 3.271983e-01 8.916200e+00 1.438894e+06 3.523063e-04 9.136503e+00
 3.461671e-04 8.589407e+00 3.234485e-01 3.289394e-01 8.915900e+00 1.406607e+06 3.530798e-04 9.137066e+00
 3.469096e-04 8.587389e+00 3.251336e-01 3.306894e-01 8.915600e+00 1.375006e+06 3.538550e-04 9.137632e+00
 3.476537e-04 8.585463e+00 3.268270e-01 3.324484e-01 8.915400e+00 1.344150e+06 3.546321e-04 9.138304e+00
 3.483994e-04 8.583528e+00 3.285288e-01 3.342164e-01 8.915200e+00 1.314020e+06 3.554109e-04 9.138978e+00
 3.491467e-04 8.581684e+00 3.302388e-01 3.359934e-01 8.915100e+00 1.284493e+06 3.561916e-04 9.139760e+00
 3.498956e-04 8.579832e+00 3.319572e-01 3.377794e-01 8.915000e+00 1.255697e+06 3.569740e-04 9.140544e+00
 3.506460e-04 8.578071e+00 3.336839e-01 3.395745e-01 8.915000e+00 1.227545e+06 3.577583e-04 9.141435e+00
 3.513981e-04 8.576301e+00 3.354191e-01 3.413787e-01 8.915000e+00 1.200022e+06 3.585443e-04 9.142329e+00
 3.521519e-04 8.574523e+00 3.371627e-01 3.431921e-01 8.915000e+00 1.173180e+06 3.593322e-04 9.143225e+00
 3.529072e-04 8.572836e+00 3.389147e-01 3.450146e-01 8.915100e+00 1.146872e+06 3.601219e-04 9.144229e+00
 3.536641e-04 8.571140e+00 3.406752e-01 3.468464e-01 8.915200e+00 1.121184e+06 3.609134e-04 9.145235e+00
 3.544227e-04 8.569535e+00 3.424443e-01 3.486874e-01 8.915400e+00 1.096100e+06 3.617068e-04 9.146348e+00
 3.551829e-04 8.567921e+00 3.442219e-01 3.505377e-01 8.915600e+00 1.071545e+06 3.625019e-04 9.147465e+00
 3.559447e-04 8.566298e+00 3.460080e-01 3.523973e-01 8.915800e+00 1.047569e+06 3.632990e-04 9.148584e+00
 3.567082e-04 8.564766e+00 3.478027e-01 3.542662e-01 8.916100e+00 1.024156e+06 3.640978e-04 9.149810e+00
 3.574733e-04 8.563326e+00 3.496061e-01 3.561445e-01 8.916500e+00 1.001208e+06 3.648986e-04 9.151144e+00
 3.582401e-04 8.561776e+00 3.514181e-01 3.580323e-01 8.916800e+00 9.788281e+05 3.657011e-04 9.152376e+00
 3.590085e-04 8.560417e+00 3.532387e-01 3.599295e-01 8.917300e+00 9.569467e+05 3.665056e-04 9.153820e+00
 3.597785e-04 8.558949e+00 3.550681e-01 3.618362e-01 8.917700e+00 9.355528e+05 3.673119e-04 9.155163e+00
 3.605502e-04 8.557572e+00 3.569062e-01 3.637524e-01 8.918200e+00 9.146888e+05 3.681200e-04 9.156613e+00
 3.613235e-04 8.556186e+00 3.587530e-01 3.656781e-01 8.918700e+00 8.942361e+05 3.689301e-04 9.158066e+00
 3.620985e-04 8.554891e+00 3.606086e-01 3.676135e-01 8.919300e+00 8.742645e+05 3.697420e-04 9.159626e+00
 3.628752e-04 8.553587e+00 3.624731e-01 3.695584e-01 8.919900e+00 8.547626e+05 3.705558e-04 9.161190e+00
 3.636535e-04 8.552373e+00 3.643463e-01 3.715131e-01 8.920600e+00 8.356692e+05 3.713715e-04 9.162861e+00
 3.644335e-04 8.551050e+00 3.662285e-01 3.734774e-01 8.921200e+00 8.170492e+05 3.721891e-04 9.164431e+00
 3.652152e-04 8.549918e+00 3.681195e-01 3.754514e-01 8.922000e+00 7.988186e+05 3.730085e-04 9.166214e+00
 3.659985e-04 8.548677e+00 3.700194e-01 3.774352e-01 8.922700e+00 7.810165e+05 3.738299e-04 9.167895e+00
 3.667836e-04 8.547526e+00 3.719283e-01 3.794288e-01 8.923500e+00 7.636095e+05 3.746532e-04 9.169683e+00
 3.675703e-04 8.546366e+00 3.738461e-01 3.814322e-01 8.924300e+00 7.465888e+05 3.754785e-04 9.171475e+00
 3.683587e-04 8.545296e+00 3.757730e-01 3.834455e-01 8.925200e+00 7.299458e+05 3.763056e-04 9.173375e+00
 3.691488e-04 8.544217e+00 3.777088e-01 3.854686e-01 8.926100e+00 7.136939e+05 3.771347e-04 9.175278e+00
 3.699406e-04 8.543228e+00 3.796537e-01 3.875017e-01 8.927100e+00 6.978235e+05 3.779656e-04 9.177290e+00
 3.707341e-04 8.542130e+00 3.816077e-01 3.895448e-01 8.928000e+00 6.822627e+05 3.787986e-04 9.179200e+00
 3.715293e-04 8.541123e+00 3.835708e-01 3.915978e-01 8.929000e+00 6.671088e+05 3.796334e-04 9.181218e+00
 3.723261e-04 8.540206e+00 3.855430e-01 3.936609e-01 8.930100e+00 6.522496e+05 3.804702e-04 9.183344e+00
 3.731247e-04 8.539179e+00 3.875244e-01 3.957341e-01 8.931100e+00 6.377395e+05 3.813090e-04 9.185369e+00
 3.739251e-04 8.538343e+00 3.895149e-01 3.978174e-01 8.932300e+00 6.235701e+05 3.821497e-04 9.187606e+00
 3.747271e-04 8.537397e+00 3.915147e-01 3.999108e-01 8.933400e+00 6.097139e+05 3.829924e-04 9.189743e+00
 3.755308e-04 8.536541e+00 3.935236e-01 4.020143e-01 8.934600e+00 5.961641e+05 3.838371e-04 9.191988e+00
 3.763363e-04 8.535676e+00 3.955419e-01 4.041281e-01 8.935800e+00 5.829139e+05 3.846837e-04 9.194236e+00
 3.771435e-04 8.534801e+00 3.975694e-01 4.062521e-01 8.937000e+00 5.699746e+05 3.855323e-04 9.196488e+00
 3.779525e-04 8.534016e+00 3.996063e-01 4.083864e-01 8.938300e+00 5.573034e+05 3.863829e-04 9.198849e+00
 3.787631e-04 8.533221e+00 4.016525e-01 4.105310e-01 8.939600e+00 5.449469e+05 3.872354e-04 9.201213e+00
 3.795755e-04 8.532517e+00 4.037080e-01 4.126859e-01 8.941000e+00 5.328460e+05 3.880900e-04 9.203686e+00
 3.803897e-04 8.531702e+00 4.057730e-01 4.148512e-01 8.942300e+00 5.210289e+05 3.889466e-04 9.206057e+00
 3.812056e-04 8.530978e+00 4.078473e-01 4.170270e-01 8.943700e+00 5.094889e+05 3.898051e-04 9.208537e+00
 3.820232e-04 8.530344e+00 4.099311e-01 4.192131e-01 8.945200e+00 4.982031e+05 3.906657e-04 9.211126e+00
 3.828426e-04 8.529600e+00 4.120244e-01 4.214098e-01 8.946600e+00 4.871343e+05 3.915283e-04 9.213614e+00
