# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_alf2.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 4.526197e-04 7.722577e+00 1.504896e-01 1.514472e-01 7.873800e+00 1.468960e+07 4.605182e-04 8.007642e+00
 4.533885e-04 7.710254e+00 1.513039e-01 1.522775e-01 7.862300e+00 1.431644e+07 4.613123e-04 7.996531e+00
 4.541587e-04 7.698124e+00 1.521242e-01 1.531142e-01 7.851000e+00 1.395304e+07 4.621078e-04 7.985624e+00
 4.549302e-04 7.686188e+00 1.529507e-01 1.539573e-01 7.839900e+00 1.359880e+07 4.629047e-04 7.974922e+00
 4.557029e-04 7.674346e+00 1.537833e-01 1.548067e-01 7.828900e+00 1.325400e+07 4.637031e-04 7.964321e+00
 4.564770e-04 7.662698e+00 1.546220e-01 1.556625e-01 7.818100e+00 1.291787e+07 4.645029e-04 7.953925e+00
 4.572524e-04 7.651143e+00 1.554669e-01 1.565247e-01 7.807400e+00 1.259071e+07 4.653041e-04 7.943631e+00
 4.580292e-04 7.639782e+00 1.563180e-01 1.573933e-01 7.796900e+00 1.227176e+07 4.661068e-04 7.933541e+00
 4.588072e-04 7.628515e+00 1.571753e-01 1.582685e-01 7.786500e+00 1.196082e+07 4.669110e-04 7.923554e+00
 4.595866e-04 7.617441e+00 1.580389e-01 1.591501e-01 7.776300e+00 1.165817e+07 4.677165e-04 7.913771e+00
 4.603673e-04 7.606461e+00 1.589088e-01 1.600383e-01 7.766200e+00 1.136327e+07 4.685236e-04 7.904090e+00
 4.611493e-04 7.595675e+00 1.597849e-01 1.609330e-01 7.756300e+00 1.107591e+07 4.693321e-04 7.894613e+00
 4.619326e-04 7.584982e+00 1.606674e-01 1.618343e-01 7.746500e+00 1.079590e+07 4.701421e-04 7.885239e+00
 4.627173e-04 7.574382e+00 1.615562e-01 1.627423e-01 7.736800e+00 1.052304e+07 4.709535e-04 7.875967e+00
 4.635033e-04 7.563976e+00 1.624514e-01 1.636569e-01 7.727300e+00 1.025747e+07 4.717664e-04 7.866900e+00
 4.642907e-04 7.553664e+00 1.633530e-01 1.645781e-01 7.717900e+00 9.998368e+06 4.725808e-04 7.857936e+00
 4.650793e-04 7.543445e+00 1.642610e-01 1.655061e-01 7.708600e+00 9.746032e+06 4.733966e-04 7.849073e+00
 4.658694e-04 7.533419e+00 1.651755e-01 1.664408e-01 7.699500e+00 9.500281e+06 4.742139e-04 7.840416e+00
 4.666607e-04 7.523487e+00 1.660964e-01 1.673822e-01 7.690500e+00 9.260650e+06 4.750327e-04 7.831861e+00
 4.674534e-04 7.513748e+00 1.670239e-01 1.683305e-01 7.681700e+00 9.027269e+06 4.758530e-04 7.823511e+00
 4.682475e-04 7.504102e+00 1.679579e-01 1.692856e-01 7.673000e+00 8.799691e+06 4.766748e-04 7.815263e+00
 4.690429e-04 7.494550e+00 1.688984e-01 1.702475e-01 7.664400e+00 8.578188e+06 4.774980e-04 7.807118e+00
 4.698396e-04 7.485191e+00 1.698456e-01 1.712163e-01 7.656000e+00 8.362183e+06 4.783228e-04 7.799178e+00
 4.706377e-04 7.475825e+00 1.707993e-01 1.721921e-01 7.647600e+00 8.151809e+06 4.791490e-04 7.791239e+00
 4.714372e-04 7.466653e+00 1.717597e-01 1.731747e-01 7.639400e+00 7.946783e+06 4.799768e-04 7.783504e+00
 4.722380e-04 7.457673e+00 1.727267e-01 1.741644e-01 7.631400e+00 7.746967e+06 4.808060e-04 7.775975e+00
 4.730402e-04 7.448687e+00 1.737005e-01 1.751610e-01 7.623400e+00 7.552225e+06 4.816368e-04 7.768446e+00
 4.738437e-04 7.439894e+00 1.746809e-01 1.761647e-01 7.615600e+00 7.362428e+06 4.824690e-04 7.761122e+00
 4.746487e-04 7.431194e+00 1.756681e-01 1.771755e-01 7.607900e+00 7.177447e+06 4.833028e-04 7.753901e+00
 4.754549e-04 7.422687e+00 1.766621e-01 1.781934e-01 7.600400e+00 6.997283e+06 4.841381e-04 7.746886e+00
 4.762626e-04 7.414173e+00 1.776629e-01 1.792183e-01 7.592900e+00 6.821563e+06 4.849749e-04 7.739870e+00
 4.770716e-04 7.405852e+00 1.786705e-01 1.802505e-01 7.585600e+00 6.650539e+06 4.858132e-04 7.733061e+00
 4.778820e-04 7.397624e+00 1.796850e-01 1.812899e-01 7.578400e+00 6.483727e+06 4.866530e-04 7.726354e+00
 4.786937e-04 7.389489e+00 1.807063e-01 1.823364e-01 7.571300e+00 6.321255e+06 4.874944e-04 7.719750e+00
 4.795069e-04 7.381447e+00 1.817346e-01 1.833903e-01 7.564300e+00 6.162778e+06 4.883373e-04 7.713250e+00
 4.803214e-04 7.373598e+00 1.827698e-01 1.844514e-01 7.557500e+00 6.008425e+06 4.891818e-04 7.706955e+00
 4.811373e-04 7.365841e+00 1.838120e-01 1.855199e-01 7.550800e+00 5.858086e+06 4.900277e-04 7.700763e+00
 4.819546e-04 7.358078e+00 1.848612e-01 1.865957e-01 7.544100e+00 5.711324e+06 4.908753e-04 7.694572e+00
 4.827733e-04 7.350507e+00 1.859174e-01 1.876789e-01 7.537600e+00 5.568488e+06 4.917243e-04 7.688586e+00
 4.835934e-04 7.343129e+00 1.869807e-01 1.887695e-01 7.531300e+00 5.429150e+06 4.925749e-04 7.682807e+00
 4.844149e-04 7.335744e+00 1.880510e-01 1.898676e-01 7.525000e+00 5.293434e+06 4.934271e-04 7.677028e+00
 4.852377e-04 7.328451e+00 1.891285e-01 1.909732e-01 7.518800e+00 5.161142e+06 4.942808e-04 7.671352e+00
 4.860620e-04 7.321251e+00 1.902132e-01 1.920863e-01 7.512700e+00 5.032186e+06 4.951361e-04 7.665780e+00
 4.868877e-04 7.314244e+00 1.913050e-01 1.932070e-01 7.506800e+00 4.906479e+06 4.959929e-04 7.660414e+00
 4.877147e-04 7.307330e+00 1.924040e-01 1.943353e-01 7.501000e+00 4.783939e+06 4.968513e-04 7.655151e+00
 4.885432e-04 7.300407e+00 1.935102e-01 1.954712e-01 7.495200e+00 4.664583e+06 4.977113e-04 7.649889e+00
 4.893731e-04 7.293678e+00 1.946237e-01 1.966147e-01 7.489600e+00 4.548135e+06 4.985729e-04 7.644833e+00
 4.902044e-04 7.287041e+00 1.957446e-01 1.977660e-01 7.484100e+00 4.434806e+06 4.994360e-04 7.639881e+00
 4.910371e-04 7.280496e+00 1.968727e-01 1.989250e-01 7.478700e+00 4.324140e+06 5.003007e-04 7.635032e+00
 4.918712e-04 7.273944e+00 1.980082e-01 2.000917e-01 7.473300e+00 4.216349e+06 5.011669e-04 7.630184e+00
 4.927067e-04 7.267585e+00 1.991511e-01 2.012663e-01 7.468100e+00 4.111356e+06 5.020348e-04 7.625543e+00
 4.935436e-04 7.261317e+00 2.003014e-01 2.024487e-01 7.463000e+00 4.008911e+06 5.029043e-04 7.621005e+00
 4.943820e-04 7.255142e+00 2.014591e-01 2.036389e-01 7.458000e+00 3.909126e+06 5.037753e-04 7.616572e+00
 4.952218e-04 7.249060e+00 2.026244e-01 2.048371e-01 7.453100e+00 3.811759e+06 5.046479e-04 7.612241e+00
 4.960630e-04 7.243069e+00 2.037971e-01 2.060433e-01 7.448300e+00 3.717004e+06 5.055222e-04 7.608015e+00
 4.969057e-04 7.237171e+00 2.049774e-01 2.072574e-01 7.443600e+00 3.624542e+06 5.063980e-04 7.603893e+00
 4.977498e-04 7.231365e+00 2.061653e-01 2.084795e-01 7.439000e+00 3.534479e+06 5.072755e-04 7.599874e+00
 4.985953e-04 7.225652e+00 2.073607e-01 2.097097e-01 7.434500e+00 3.446510e+06 5.081545e-04 7.595960e+00
 4.994422e-04 7.219930e+00 2.085638e-01 2.109479e-01 7.430000e+00 3.360905e+06 5.090352e-04 7.592046e+00
 5.002906e-04 7.214401e+00 2.097746e-01 2.121943e-01 7.425700e+00 3.277442e+06 5.099175e-04 7.588340e+00
 5.011405e-04 7.208963e+00 2.109930e-01 2.134489e-01 7.421500e+00 3.196068e+06 5.108014e-04 7.584737e+00
 5.019917e-04 7.203518e+00 2.122192e-01 2.147117e-01 7.417300e+00 3.116729e+06 5.116869e-04 7.581136e+00
 5.028445e-04 7.198264e+00 2.134532e-01 2.159827e-01 7.413300e+00 3.039374e+06 5.125741e-04 7.577741e+00
 5.036986e-04 7.193103e+00 2.146949e-01 2.172619e-01 7.409400e+00 2.963953e+06 5.134629e-04 7.574451e+00
 5.045543e-04 7.187934e+00 2.159445e-01 2.185495e-01 7.405500e+00 2.890416e+06 5.143533e-04 7.571163e+00
 5.054113e-04 7.182856e+00 2.172019e-01 2.198455e-01 7.401700e+00 2.818857e+06 5.152454e-04 7.567978e+00
 5.062699e-04 7.177870e+00 2.184673e-01 2.211498e-01 7.398000e+00 2.748946e+06 5.161391e-04 7.564898e+00
 5.071299e-04 7.172977e+00 2.197405e-01 2.224626e-01 7.394400e+00 2.680847e+06 5.170345e-04 7.561922e+00
 5.079913e-04 7.168175e+00 2.210217e-01 2.237838e-01 7.390900e+00 2.614515e+06 5.179315e-04 7.559050e+00
 5.088542e-04 7.163464e+00 2.223109e-01 2.251135e-01 7.387500e+00 2.549704e+06 5.188301e-04 7.556283e+00
 5.097186e-04 7.158846e+00 2.236081e-01 2.264518e-01 7.384200e+00 2.486575e+06 5.197305e-04 7.553621e+00
 5.105844e-04 7.154219e+00 2.249134e-01 2.277986e-01 7.380900e+00 2.425082e+06 5.206324e-04 7.550959e+00
 5.114518e-04 7.149784e+00 2.262267e-01 2.291541e-01 7.377800e+00 2.365059e+06 5.215361e-04 7.548506e+00
 5.123206e-04 7.145340e+00 2.275482e-01 2.305182e-01 7.374700e+00 2.306592e+06 5.224414e-04 7.546054e+00
 5.131908e-04 7.140988e+00 2.288778e-01 2.318911e-01 7.371700e+00 2.249640e+06 5.233484e-04 7.543707e+00
 5.140626e-04 7.136728e+00 2.302157e-01 2.332726e-01 7.368800e+00 2.193986e+06 5.242570e-04 7.541464e+00
 5.149358e-04 7.132559e+00 2.315617e-01 2.346630e-01 7.366000e+00 2.139834e+06 5.251674e-04 7.539326e+00
 5.158105e-04 7.128381e+00 2.329160e-01 2.360621e-01 7.363200e+00 2.086970e+06 5.260794e-04 7.537190e+00
 5.166867e-04 7.124295e+00 2.342785e-01 2.374701e-01 7.360500e+00 2.035477e+06 5.269931e-04 7.535158e+00
 5.175644e-04 7.120301e+00 2.356494e-01 2.388871e-01 7.357900e+00 1.985151e+06 5.279085e-04 7.533231e+00
