# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_eng.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 4.640545e-04 7.761275e+00 1.490098e-01 1.499332e-01 7.911000e+00 1.546812e+07 4.723212e-04 8.044599e+00
 4.649677e-04 7.748919e+00 1.497571e-01 1.506950e-01 7.899400e+00 1.509406e+07 4.732643e-04 8.033364e+00
 4.658826e-04 7.736658e+00 1.505095e-01 1.514622e-01 7.887900e+00 1.472897e+07 4.742093e-04 8.022231e+00
 4.667993e-04 7.724592e+00 1.512671e-01 1.522348e-01 7.876600e+00 1.437315e+07 4.751563e-04 8.011302e+00
 4.677178e-04 7.712621e+00 1.520299e-01 1.530127e-01 7.865400e+00 1.402584e+07 4.761052e-04 8.000476e+00
 4.686382e-04 7.700844e+00 1.527979e-01 1.537961e-01 7.854400e+00 1.368735e+07 4.770561e-04 7.989853e+00
 4.695603e-04 7.689162e+00 1.535711e-01 1.545848e-01 7.843500e+00 1.335696e+07 4.780089e-04 7.979333e+00
 4.704843e-04 7.677575e+00 1.543495e-01 1.553790e-01 7.832700e+00 1.303479e+07 4.789637e-04 7.968914e+00
 4.714101e-04 7.666082e+00 1.551332e-01 1.561787e-01 7.822000e+00 1.272047e+07 4.799205e-04 7.958598e+00
 4.723377e-04 7.654784e+00 1.559222e-01 1.569839e-01 7.811500e+00 1.241380e+07 4.808793e-04 7.948486e+00
 4.732671e-04 7.643580e+00 1.567164e-01 1.577946e-01 7.801100e+00 1.211461e+07 4.818401e-04 7.938476e+00
 4.741983e-04 7.632471e+00 1.575160e-01 1.586108e-01 7.790800e+00 1.182286e+07 4.828028e-04 7.928569e+00
 4.751314e-04 7.621557e+00 1.583209e-01 1.594325e-01 7.780700e+00 1.153835e+07 4.837676e-04 7.918866e+00
 4.760664e-04 7.610737e+00 1.591311e-01 1.602598e-01 7.770700e+00 1.126061e+07 4.847344e-04 7.909265e+00
 4.770031e-04 7.600012e+00 1.599467e-01 1.610928e-01 7.760800e+00 1.098978e+07 4.857031e-04 7.899766e+00
 4.779417e-04 7.589381e+00 1.607677e-01 1.619313e-01 7.751000e+00 1.072537e+07 4.866739e-04 7.890370e+00
 4.788822e-04 7.578945e+00 1.615941e-01 1.627755e-01 7.741400e+00 1.046767e+07 4.876467e-04 7.881178e+00
 4.798245e-04 7.568603e+00 1.624260e-01 1.636253e-01 7.731900e+00 1.021623e+07 4.886215e-04 7.872089e+00
 4.807686e-04 7.558355e+00 1.632632e-01 1.644808e-01 7.722500e+00 9.970887e+06 4.895983e-04 7.863102e+00
 4.817146e-04 7.548202e+00 1.641059e-01 1.653420e-01 7.713200e+00 9.731491e+06 4.905772e-04 7.854218e+00
 4.826625e-04 7.538143e+00 1.649541e-01 1.662089e-01 7.704000e+00 9.498173e+06 4.915581e-04 7.845436e+00
 4.836123e-04 7.528279e+00 1.658079e-01 1.670816e-01 7.695000e+00 9.270230e+06 4.925410e-04 7.836859e+00
 4.845639e-04 7.518509e+00 1.666671e-01 1.679601e-01 7.686100e+00 9.047940e+06 4.935260e-04 7.828384e+00
 4.855174e-04 7.508734e+00 1.675318e-01 1.688443e-01 7.677200e+00 8.831162e+06 4.945130e-04 7.819910e+00
 4.864727e-04 7.499152e+00 1.684022e-01 1.697344e-01 7.668500e+00 8.619493e+06 4.955021e-04 7.811640e+00
 4.874300e-04 7.489765e+00 1.692781e-01 1.706303e-01 7.660000e+00 8.413199e+06 4.964932e-04 7.803576e+00
 4.883891e-04 7.480373e+00 1.701596e-01 1.715320e-01 7.651500e+00 8.211760e+06 4.974864e-04 7.795512e+00
 4.893501e-04 7.471074e+00 1.710467e-01 1.724396e-01 7.643100e+00 8.015312e+06 4.984816e-04 7.787550e+00
 4.903130e-04 7.461970e+00 1.719395e-01 1.733532e-01 7.634900e+00 7.823603e+06 4.994790e-04 7.779794e+00
 4.912778e-04 7.452960e+00 1.728379e-01 1.742726e-01 7.626800e+00 7.636518e+06 5.004784e-04 7.772140e+00
 4.922445e-04 7.443944e+00 1.737420e-01 1.751981e-01 7.618700e+00 7.454065e+06 5.014799e-04 7.764487e+00
 4.932131e-04 7.435122e+00 1.746519e-01 1.761295e-01 7.610800e+00 7.275888e+06 5.024834e-04 7.757038e+00
 4.941836e-04 7.426395e+00 1.755674e-01 1.770668e-01 7.603000e+00 7.102238e+06 5.034891e-04 7.749693e+00
 4.951560e-04 7.417762e+00 1.764887e-01 1.780103e-01 7.595300e+00 6.932652e+06 5.044969e-04 7.742451e+00
 4.961303e-04 7.409222e+00 1.774157e-01 1.789597e-01 7.587700e+00 6.767260e+06 5.055067e-04 7.735311e+00
 4.971066e-04 7.400777e+00 1.783485e-01 1.799153e-01 7.580200e+00 6.605733e+06 5.065187e-04 7.728274e+00
 4.980847e-04 7.392426e+00 1.792872e-01 1.808769e-01 7.572800e+00 6.448311e+06 5.075328e-04 7.721341e+00
 4.990648e-04 7.384269e+00 1.802316e-01 1.818446e-01 7.565600e+00 6.294561e+06 5.085490e-04 7.714613e+00
 5.000468e-04 7.376105e+00 1.811820e-01 1.828185e-01 7.558400e+00 6.144612e+06 5.095673e-04 7.707885e+00
 5.010308e-04 7.368036e+00 1.821381e-01 1.837986e-01 7.551300e+00 5.998261e+06 5.105877e-04 7.701260e+00
 5.020167e-04 7.360061e+00 1.831002e-01 1.847848e-01 7.544300e+00 5.855421e+06 5.116103e-04 7.694739e+00
 5.030045e-04 7.352180e+00 1.840682e-01 1.857773e-01 7.537400e+00 5.716109e+06 5.126350e-04 7.688320e+00
 5.039943e-04 7.344392e+00 1.850421e-01 1.867760e-01 7.530600e+00 5.580035e+06 5.136619e-04 7.682005e+00
 5.049860e-04 7.336799e+00 1.860220e-01 1.877810e-01 7.524000e+00 5.447420e+06 5.146908e-04 7.675895e+00
 5.059797e-04 7.329199e+00 1.870078e-01 1.887923e-01 7.517400e+00 5.317883e+06 5.157220e-04 7.669786e+00
 5.069753e-04 7.321693e+00 1.879997e-01 1.898099e-01 7.510900e+00 5.191542e+06 5.167553e-04 7.663781e+00
 5.079729e-04 7.314282e+00 1.889976e-01 1.908338e-01 7.504500e+00 5.068128e+06 5.177908e-04 7.657878e+00
 5.089724e-04 7.306963e+00 1.900015e-01 1.918641e-01 7.498200e+00 4.947854e+06 5.188284e-04 7.652079e+00
 5.099739e-04 7.299739e+00 1.910114e-01 1.929008e-01 7.492000e+00 4.830362e+06 5.198682e-04 7.646383e+00
 5.109774e-04 7.292608e+00 1.920275e-01 1.939439e-01 7.485900e+00 4.715767e+06 5.209102e-04 7.640791e+00
 5.119829e-04 7.285571e+00 1.930497e-01 1.949935e-01 7.479900e+00 4.603909e+06 5.219544e-04 7.635302e+00
 5.129903e-04 7.278528e+00 1.940780e-01 1.960495e-01 7.473900e+00 4.494720e+06 5.230007e-04 7.629814e+00
 5.139997e-04 7.271679e+00 1.951125e-01 1.971121e-01 7.468100e+00 4.388137e+06 5.240492e-04 7.624532e+00
 5.150111e-04 7.264923e+00 1.961531e-01 1.981811e-01 7.462400e+00 4.284181e+06 5.251000e-04 7.619353e+00
 5.160245e-04 7.258161e+00 1.971999e-01 1.992567e-01 7.456700e+00 4.182618e+06 5.261529e-04 7.614176e+00
 5.170399e-04 7.251492e+00 1.982530e-01 2.003389e-01 7.451100e+00 4.083641e+06 5.272081e-04 7.609101e+00
 5.180573e-04 7.245017e+00 1.993123e-01 2.014277e-01 7.445700e+00 3.986939e+06 5.282655e-04 7.604234e+00
 5.190767e-04 7.238535e+00 2.003778e-01 2.025231e-01 7.440300e+00 3.892620e+06 5.293250e-04 7.599367e+00
