# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_ms1b.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.479751e-04 8.329684e+00 2.455068e-01 2.485461e-01 8.577000e+00 3.685876e+06 3.542549e-04 8.757758e+00
 3.486713e-04 8.325524e+00 2.468465e-01 2.499260e-01 8.574200e+00 3.599713e+06 3.549776e-04 8.755632e+00
 3.493689e-04 8.321356e+00 2.481937e-01 2.513139e-01 8.571400e+00 3.515488e+06 3.557018e-04 8.753507e+00
 3.500679e-04 8.317380e+00 2.495484e-01 2.527098e-01 8.568800e+00 3.433398e+06 3.564276e-04 8.751590e+00
 3.507683e-04 8.313296e+00 2.509106e-01 2.541136e-01 8.566100e+00 3.353151e+06 3.571549e-04 8.749572e+00
 3.514701e-04 8.309405e+00 2.522804e-01 2.555255e-01 8.563600e+00 3.274860e+06 3.578838e-04 8.747762e+00
 3.521733e-04 8.305505e+00 2.536578e-01 2.569455e-01 8.561100e+00 3.198249e+06 3.586142e-04 8.745954e+00
 3.528779e-04 8.301698e+00 2.550428e-01 2.583736e-01 8.558700e+00 3.123582e+06 3.593462e-04 8.744250e+00
 3.535840e-04 8.297983e+00 2.564354e-01 2.598099e-01 8.556400e+00 3.050662e+06 3.600797e-04 8.742652e+00
 3.542914e-04 8.294260e+00 2.578357e-01 2.612543e-01 8.554100e+00 2.979446e+06 3.608148e-04 8.741055e+00
 3.550003e-04 8.290630e+00 2.592438e-01 2.627070e-01 8.551900e+00 2.910038e+06 3.615515e-04 8.739563e+00
 3.557105e-04 8.287091e+00 2.606596e-01 2.641679e-01 8.549800e+00 2.842111e+06 3.622898e-04 8.738176e+00
 3.564222e-04 8.283544e+00 2.620831e-01 2.656371e-01 8.547700e+00 2.775840e+06 3.630296e-04 8.736791e+00
 3.571354e-04 8.280089e+00 2.635144e-01 2.671146e-01 8.545700e+00 2.711183e+06 3.637710e-04 8.735512e+00
 3.578499e-04 8.276726e+00 2.649536e-01 2.686005e-01 8.543800e+00 2.647970e+06 3.645141e-04 8.734337e+00
 3.585659e-04 8.273355e+00 2.664006e-01 2.700948e-01 8.541900e+00 2.586297e+06 3.652587e-04 8.733164e+00
 3.592833e-04 8.270076e+00 2.678555e-01 2.715975e-01 8.540100e+00 2.526000e+06 3.660049e-04 8.732097e+00
 3.600021e-04 8.266888e+00 2.693183e-01 2.731086e-01 8.538400e+00 2.467172e+06 3.667527e-04 8.731135e+00
 3.607224e-04 8.263693e+00 2.707891e-01 2.746283e-01 8.536700e+00 2.409776e+06 3.675021e-04 8.730175e+00
 3.614441e-04 8.260589e+00 2.722679e-01 2.761564e-01 8.535100e+00 2.353598e+06 3.682531e-04 8.729320e+00
 3.621673e-04 8.257577e+00 2.737546e-01 2.776932e-01 8.533600e+00 2.298848e+06 3.690057e-04 8.728571e+00
 3.628919e-04 8.254556e+00 2.752494e-01 2.792385e-01 8.532100e+00 2.245374e+06 3.697600e-04 8.727824e+00
 3.636180e-04 8.251627e+00 2.767522e-01 2.807925e-01 8.530700e+00 2.193144e+06 3.705158e-04 8.727182e+00
 3.643455e-04 8.248690e+00 2.782631e-01 2.823552e-01 8.529300e+00 2.142243e+06 3.712733e-04 8.726542e+00
 3.650745e-04 8.245845e+00 2.797822e-01 2.839265e-01 8.528000e+00 2.092415e+06 3.720324e-04 8.726008e+00
 3.658049e-04 8.243091e+00 2.813094e-01 2.855066e-01 8.526800e+00 2.043801e+06 3.727932e-04 8.725580e+00
 3.665368e-04 8.240328e+00 2.828448e-01 2.870955e-01 8.525600e+00 1.996264e+06 3.735556e-04 8.725154e+00
 3.672701e-04 8.237657e+00 2.843884e-01 2.886932e-01 8.524500e+00 1.949937e+06 3.743196e-04 8.724834e+00
 3.680050e-04 8.234978e+00 2.859403e-01 2.902998e-01 8.523400e+00 1.904636e+06 3.750852e-04 8.724515e+00
 3.687413e-04 8.232390e+00 2.875004e-01 2.919152e-01 8.522400e+00 1.860437e+06 3.758526e-04 8.724303e+00
 3.694790e-04 8.229893e+00 2.890688e-01 2.935396e-01 8.521500e+00 1.817315e+06 3.766215e-04 8.724197e+00
 3.702183e-04 8.227388e+00 2.906456e-01 2.951729e-01 8.520600e+00 1.775096e+06 3.773921e-04 8.724092e+00
 3.709590e-04 8.224874e+00 2.922307e-01 2.968152e-01 8.519700e+00 1.733953e+06 3.781644e-04 8.723990e+00
 3.717012e-04 8.222551e+00 2.938242e-01 2.984666e-01 8.519000e+00 1.693717e+06 3.789384e-04 8.724098e+00
