# rho_central, M, R
0.00032 0.26695613692890624 8.963999999999457
0.00033600000000000004 0.3006803253091749 8.92799999999946
0.0003528 0.33848092321693585 8.915999999999462
0.00037044 0.3806765287500995 8.93199999999946
0.00038896199999999997 0.42758406410583244 8.959999999999457
0.0004084101 0.47950930984620993 9.007999999999452
0.00042883060499999997 0.5367355424151043 9.063999999999446
0.00045027213525 0.599510474145502 9.127999999999439
0.0004727857420125 0.6680315191330319 9.20399999999943
0.000496425029113125 0.7424296466380812 9.279999999999422
0.0005212462805687813 0.822752453510898 9.359999999999413
0.0005473085945972203 0.9089469871620849 9.439999999999404
0.0005746740243270813 1.0008433515745243 9.519999999999396
0.0006034077255434354 1.0981402370402993 9.595999999999387
0.0006335781118206071 1.2003935603947489 9.66399999999938
0.0006652570174116375 1.3070096891271528 9.731999999999372
0.0006985198682822193 1.4172443509221222 9.787999999999366
0.0007334458616963303 1.5302085787778859 9.83999999999936
0.0007701181547811467 1.644882083956901 9.875999999999356
0.000808624062520204 1.760134462548814 9.907999999999353
0.0008490552656462143 1.8679896521399777 9.923999999999351
0.000891508028928525 1.972600057553253 9.92799999999935
0.0009360834303749513 2.0735223053220286 9.919999999999352
0.000982887601893699 2.1698793811127626 9.899999999999354
0.001032031981988384 2.260856493429516 9.867999999999357
0.0010836335810878032 2.3457202899048024 9.823999999999362
0.0011378152601421933 2.4238374834655234 9.767999999999368
0.001194706023149303 2.494690412110642 9.703999999999375
0.001254441324306768 2.557887844331261 9.627999999999384
0.0013171633905221065 2.613170464027617 9.543999999999393
0.001383021560048212 2.6604113916436165 9.447999999999404
0.0014521726380506226 2.6996116893147346 9.347999999999415
0.0015247812699531538 2.730891706994745 9.243999999999426
0.0016010203334508115 2.754479179137327 9.131999999999438
0.001681071350123352 2.7641459450629524 9.063999999999446
0.0017651249176295198 2.7682801567556083 9.01999999999945
0.0018533811635109958 2.7692505862210877 8.967999999999456
