# rho, p, epsilon
0 2.56e-11 6.553600000000001e-20 2.5600000065536002e-11
1 2.570015417781497e-11 6.604979247634602e-20 2.5700154243864762e-11
2 2.5800700186072635e-11 6.656761300916085e-20 2.5800700252640247e-11
3 2.5901639557720523e-11 6.708949317780727e-20 2.5901639624810018e-11
4 2.600297383170343e-11 6.761546480922533e-20 2.6002973899318896e-11
5 2.6104704552986935e-11 6.814555997987367e-20 2.610470462113249e-11
6 2.6206833272580934e-11 6.86798110176855e-20 2.620683334126074e-11
7 2.63093615475633e-11 6.921825050404023e-20 2.630936161678155e-11
8 2.641229094110373e-11 6.976091127575101e-20 2.641229101086464e-11
9 2.6515623022487137e-11 7.030782642706499e-20 2.6515623092794965e-11
10 2.6619359367138237e-11 7.085902931168502e-20 2.6619359437997265e-11
11 2.672350155664512e-11 7.141455354480141e-20 2.6723501628059674e-11
12 2.6828051178783482e-11 7.197443300514257e-20 2.6828051250757914e-11
13 2.6933009827540833e-11 7.25387018370411e-20 2.6933009900079535e-11
14 2.7038379103140798e-11 7.31073944525161e-20 2.7038379176248193e-11
15 2.7144160612067506e-11 7.36805455333717e-20 2.714416068574805e-11
16 2.7250355967090097e-11 7.42581900333123e-20 2.7250356041348292e-11
17 2.73569667872873e-11 7.484036318007405e-20 2.7356966862127665e-11
18 2.746399469807212e-11 7.542710047757336e-20 2.746399477349922e-11
19 2.7571441331216626e-11 7.601843770807204e-20 2.7571441407235064e-11
20 2.7679308324876817e-11 7.66144109343595e-20 2.767930840149123e-11
21 2.7787597323617607e-11 7.721505650195204e-20 2.7787597400832665e-11
22 2.7896309978437903e-11 7.782041104130941e-20 2.7896310056258316e-11
23 2.8005447946795877e-11 7.843051147006934e-20 2.800544802522639e-11
24 2.8115012892633788e-11 7.904539499529641e-20 2.8115012971679183e-11
25 2.822500648640403e-11 7.966509911575495e-20 2.822500656606913e-11
26 2.8335430405094154e-11 8.028966162419342e-20 2.8335430485383817e-11
27 2.844628633225254e-11 8.091912060964976e-20 2.844628641317166e-11
28 2.855757595801407e-11 8.155351445977431e-20 2.8557576039567583e-11
29 2.866930097912589e-11 8.219288186317088e-20 2.8669301061318773e-11
30 2.878146309897329e-11 8.283726181175611e-20 2.878146318181055e-11
31 2.8894064027605663e-11 8.348669360313757e-20 2.8894064111092356e-11
32 2.9007105481762582e-11 8.414121684301009e-20 2.9007105565903798e-11
33 2.912058918489997e-11 8.48008714475713e-20 2.912058926970084e-11
34 2.923451686721639e-11 8.546569764595595e-20 2.9234516952682085e-11
35 2.93488902656794e-11 8.61357359826891e-20 2.934889035181514e-11
36 2.946371112405206e-11 8.681102732015891e-20 2.946371121086309e-11
37 2.95789811929195e-11 8.749161284110853e-20 2.957898128041111e-11
38 2.969470222971573e-11 8.817753405114842e-20 2.969470231789326e-11
39 2.9810875998749975e-11 8.886883278128472e-20 2.981087608761881e-11
40 2.992750427123427e-11 8.956555119047453e-20 2.992750436079982e-11
41 3.0044588825309995e-11 9.026773176819421e-20 3.004458891557773e-11
42 3.016213144607511e-11 9.09754173370313e-20 3.0162131537050526e-11
43 3.0280133925611354e-11 9.168865105529597e-20 3.028013401730001e-11
44 3.0398598063011586e-11 9.240747641965318e-20 3.039859815541906e-11
45 3.05175256644072e-11 9.31319372677752e-20 3.0517525757539134e-11
46 3.063691854299568e-11 9.386207778101524e-20 3.0636918636857755e-11
47 3.075677851906822e-11 9.459794248710164e-20 3.075677861366617e-11
48 3.08771074200375e-11 9.533957626285348e-20 3.0877107515377076e-11
49 3.099790708046552e-11 9.608702433691746e-20 3.099790717655255e-11
50 3.1119179342091615e-11 9.684033229252615e-20 3.111917943893195e-11
51 3.124092605386048e-11 9.759954607027785e-20 3.1240926151460026e-11
52 3.136314907195039e-11 9.836471197093827e-20 3.13631491703151e-11
53 3.148585025980164e-11 9.913587665826508e-20 3.1485850358937515e-11
54 3.16090314881444e-11 9.991308716185045e-20 3.160903158805749e-11
55 3.173269463502806e-11 1.0069639087999388e-19 3.1732694735724455e-11
56 3.185684158584931e-11 1.014858355825898e-19 3.1856841687335144e-11
57 3.198147423338101e-11 1.0228146941404135e-19 3.198147433566248e-11
58 3.2106594477801085e-11 1.030833408961967e-19 3.210659458088442e-11
59 3.2232204226721476e-11 1.0389149893130818e-19 3.2232204330612976e-11
60 3.23583053952172e-11 1.0470599280501426e-19 3.2358305499923194e-11
61 3.248489990585559e-11 1.0552687218934564e-19 3.248490001138246e-11
62 3.261198968872557e-11 1.063541871457543e-19 3.261198979507976e-11
63 3.273957668146712e-11 1.0718798812816656e-19 3.273957678865511e-11
64 3.286766282930077e-11 1.0802832598605998e-19 3.28676629373291e-11
65 3.299625008505731e-11 1.0887525196756446e-19 3.299625019393256e-11
66 3.3125340409207514e-11 1.097288177225876e-19 3.312534051893633e-11
67 3.325493576989205e-11 1.1058907530596456e-19 3.3254935880481127e-11
68 3.3385038142951646e-11 1.1145607718063365e-19 3.3385038254407726e-11
69 3.351564951195664e-11 1.1232987622083195e-19 3.3515649624286514e-11
70 3.364677186823804e-11 1.1321052571532547e-19 3.364677198144856e-11
71 3.3778407210917346e-11 1.1409807937065531e-19 3.377840732501543e-11
72 3.391055754693718e-11 1.149925913144138e-19 3.391055766192977e-11
73 3.4043224891091856e-11 1.158941160985456e-19 3.404322500698597e-11
74 3.417641126605812e-11 1.1680270870267445e-19 3.417641138286083e-11
75 3.431011870242599e-11 1.1771842453745615e-19 3.431011882014441e-11
