# rho_central, M, R
0.00032 0.08335858819515099 12.863999999999027
0.00033600000000000004 0.08509370536521178 12.055999999999116
0.0003528 0.0883704544329612 11.19999999999921
0.00037044 0.09355358823378347 10.375999999999301
0.00038896199999999997 0.10091624874211146 9.635999999999383
0.0004084101 0.11066921166602363 9.011999999999452
0.00042883060499999997 0.12300048755341325 8.507999999999507
0.00045027213525 0.13810781484822723 8.11199999999955
0.0004727857420125 0.156218072018986 7.811999999999583
0.000496425029113125 0.17759532829761912 7.5879999999996075
0.0005212462805687813 0.20254158255121993 7.431999999999625
0.0005473085945972203 0.23139300154720338 7.327999999999636
0.0005746740243270813 0.26451315805066516 7.267999999999643
0.0006034077255434354 0.30228387185700284 7.239999999999646
0.0006335781118206071 0.345093308138299 7.239999999999646
0.0006652570174116375 0.3933214845024289 7.259999999999644
0.0006985198682822193 0.4473224933650681 7.299999999999639
0.0007334458616963303 0.5074039316673408 7.355999999999633
0.0007701181547811467 0.5738031372882444 7.4159999999996264
0.000808624062520204 0.6466615281382824 7.4879999999996185
0.0008490552656462143 0.7170770261352313 7.5519999999996115
0.000891508028928525 0.790580499266624 7.615999999999604
0.0009360834303749513 0.8675772760926003 7.679999999999597
0.000982887601893699 0.9477720256831516 7.735999999999591
0.001032031981988384 1.030764906999244 7.7879999999995855
0.0010836335810878032 1.116052758723515 7.831999999999581
0.0011378152601421933 1.2030339060907327 7.871999999999576
0.001194706023149303 1.2910173203936595 7.903999999999573
0.001254441324306768 1.379236526527322 7.9239999999995705
0.0013171633905221065 1.4668677960520125 7.935999999999569
0.001383021560048212 1.5530520882131067 7.939999999999569
0.0014521726380506226 1.6369201520142815 7.935999999999569
0.0015247812699531538 1.7176188997327342 7.919999999999571
0.0016010203334508115 1.7943379369645607 7.891999999999574
0.001681071350123352 1.8670302535048922 7.8599999999995775
0.0017651249176295198 1.9345908103767637 7.811999999999583
0.0018533811635109958 1.9962285243281261 7.759999999999589
0.0019460502216865456 2.051476212581514 7.699999999999595
0.002043352732770873 2.100000479649016 7.631999999999603
0.002145520369409417 2.141605443745298 7.555999999999611
0.0022527963878798875 2.1762299049095066 7.47599999999962
0.002365436207273882 2.203938441598522 7.3879999999996295
0.002483708017637576 2.2249088257923715 7.29199999999964
0.002607893418519455 2.239416367485741 7.19999999999965
0.0027382880894454274 2.247816947688145 7.103999999999661
0.0028752024939176987 2.2505293734598903 7.003999999999672
