# rho_central, M, R
0.00032 0.229534059227081 9.003999999999452
0.00033600000000000004 0.25345411147471036 8.919999999999462
0.0003528 0.2798530287400342 8.859999999999468
0.00037044 0.30889470992935675 8.815999999999473
0.00038896199999999997 0.34074510742580194 8.791999999999476
0.0004084101 0.3755689844971361 8.783999999999477
0.00042883060499999997 0.41352611800025096 8.783999999999477
0.00045027213525 0.4547669085606223 8.795999999999475
0.0004727857420125 0.4994273655849444 8.815999999999473
0.000496425029113125 0.5476235985885612 8.84399999999947
0.0005212462805687813 0.5994456860305072 8.875999999999467
0.0005473085945972203 0.6549512426312089 8.907999999999463
0.0005746740243270813 0.714158584101544 8.943999999999459
0.0006034077255434354 0.7770399717678187 8.983999999999455
0.0006335781118206071 0.843514888450188 9.01999999999945
0.0006652570174116375 0.9134440132022756 9.055999999999447
0.0006985198682822193 0.986623839423004 9.087999999999443
0.0007334458616963303 1.0627828248368665 9.11999999999944
0.0007701181547811467 1.1415789253585322 9.143999999999437
0.000808624062520204 1.2225993144852207 9.167999999999434
0.0008490552656462143 1.2865895197453108 9.175999999999433
0.000891508028928525 1.3473765703511564 9.183999999999433
0.0009360834303749513 1.4061650124826985 9.179999999999433
0.000982887601893699 1.4628528765380922 9.171999999999434
0.001032031981988384 1.5173426355549626 9.155999999999436
0.0010836335810878032 1.569537164062192 9.131999999999438
0.0011378152601421933 1.6193398906637773 9.099999999999442
0.001194706023149303 1.666656148393674 9.063999999999446
0.001254441324306768 1.7113950166555858 9.01999999999945
0.0013171633905221065 1.753471236992757 8.967999999999456
0.001383021560048212 1.7928070515450178 8.915999999999462
0.0014521726380506226 1.829333902576308 8.85199999999947
0.0015247812699531538 1.8629939261114974 8.787999999999476
0.0016010203334508115 1.8937412637438793 8.715999999999484
0.001681071350123352 1.9205365141666104 8.643999999999492
0.0017651249176295198 1.9440156538549176 8.5679999999995
0.0018533811635109958 1.9644704592812086 8.48799999999951
0.0019460502216865456 1.9819376859966618 8.407999999999518
0.002043352732770873 1.9964748179503962 8.319999999999528
0.002145520369409417 2.008153666873544 8.231999999999537
0.0022527963878798875 2.0170572460747893 8.143999999999547
0.002365436207273882 2.023277907545619 8.051999999999557
0.002483708017637576 2.026915932710062 7.955999999999567
0.002607893418519455 2.0280784160579204 7.8599999999995775
