# rho_central, M, R
4.37252316645707e-08 0.524173102240122 11.724910796528988
4.591149324779924e-08 0.5451755819886879 11.688449243871297
4.82070679101892e-08 0.5667828838507541 11.650507605508556
5.061742130569866e-08 0.5889913529202888 11.61108312681144
5.314829237098359e-08 0.6117951320407661 11.570109271429654
5.580570698953277e-08 0.6351860053212414 11.527612019099477
5.859599233900941e-08 0.6591532433311825 11.483376125492523
6.152579195595988e-08 0.6836834518152607 11.437584444979045
6.460208155375788e-08 0.7087604256958464 11.389970746250128
6.783218563144577e-08 0.7343650106093554 11.340693256021344
7.122379491301805e-08 0.7604749740452665 11.289610844763986
7.478498465866895e-08 0.7870648886966487 11.236726885254903
7.85242338916024e-08 0.8141060303039539 11.182004530413222
8.245044558618252e-08 0.8415662928795888 11.125411686449564
8.657296786549165e-08 0.8694101238006758 11.067182072517152
9.090161625876624e-08 0.8975984810272851 11.006485963285135
9.544669707170455e-08 0.926088817058485 10.944311727511268
1.0021903192528978e-07 0.9548350886723017 10.879782345851075
1.0522998352155427e-07 0.9837877989812862 10.813462644936852
1.1049148269763197e-07 1.012894070803898 10.74515935945089
1.1601605683251357e-07 1.0420977554243236 10.674857751492496
1.2181685967413926e-07 1.0713395773525738 10.602592166641378
1.2790770265784622e-07 1.1005573167600193 10.52823985311344
1.3430308779073853e-07 1.1296860304387146 10.451914445264148
1.4101824218027546e-07 1.1586583112382374 10.373616443801964
1.4806915428928923e-07 1.1874045861637952 10.293359541048272
1.5547261200375368e-07 1.2158534517857906 10.211158600765764
1.6324624260394136e-07 1.2439320456499487 10.127217024603418
1.7140855473413843e-07 1.2715664505790891 10.041054382430499
1.7997898247084535e-07 1.298682131013323 9.953195114959254
1.889779315943876e-07 1.3252043940825298 9.863554074034772
1.9842682817410698e-07 1.3510588745803467 9.772162596275228
2.0834816958281233e-07 1.376172036607498 9.679089192925323
2.1876557806195296e-07 1.4004716871299654 9.584453827417466
2.2970385696505061e-07 1.4238874948031368 9.488142118453581
2.4118904981330314e-07 1.4463515086651202 9.390375442099325
2.532485023039683e-07 1.4677986684330075 9.291299478604158
2.659109274191667e-07 1.4881673009859275 9.190773063150855
2.79206473790125e-07 1.5073995954314814 9.089099532689012
2.931667974796313e-07 1.5254420503273283 8.986281742812572
3.0782513735361287e-07 1.5422458865103175 8.88247704892345
3.232163942212935e-07 1.557767420198614 8.777746440537841
3.393772139323582e-07 1.571968390513961 8.672145892959556
3.563460746289761e-07 1.5848162370002352 8.565874609574122
3.741633783604249e-07 1.59628432383558 8.459038080069273
3.9287154727844614e-07 1.6063521075174358 8.351771003150164
4.1251512464236844e-07 1.6150052462180025 8.244099514253278
4.3314088087448686e-07 1.622235650345672 8.136252608952464
4.547979249182112e-07 1.6280414742909932 8.028309568389545
4.775378211641218e-07 1.632427050470088 7.920411151121895
5.014147122223279e-07 1.6354027682046588 7.8126734073835316
5.264854478334443e-07 1.6369849001859975 7.705229748539495
5.528097202251165e-07 1.6371953804880204 7.59822795274528
5.804502062363724e-07 1.6360615387736186 7.491734834175387
6.09472716548191e-07 1.6336157955217918 7.385933203158434
6.399463523756006e-07 1.6298953240885206 7.280935314598585
6.719436699943806e-07 1.6249416853043945 7.1768459463362655
7.055408534940995e-07 1.618800440437846 7.073805470543681
7.408178961688045e-07 1.611520748873434 6.971930502123327
7.778587909772448e-07 1.6031549559041063 6.8713243110198
8.167517305261071e-07 1.59375817682442 6.7721077305816895
8.575893170524124e-07 1.5833878823537701 6.674390930684564
9.00468782905033e-07 1.5721034905256053 6.578285467304399
9.454922220502847e-07 1.5599659694374137 6.483894653451261
9.92766833152799e-07 1.5470374551797734 6.3913197098216346
1.0424051748104389e-06 1.5333808878488975 6.3006593147636565
