# rho_central, M, R
0.00032 0.1955831722569576 8.771999999999478
0.00033600000000000004 0.22308650291216928 8.643999999999492
0.0003528 0.25473826239605285 8.559999999999501
0.00037044 0.2909468729591302 8.523999999999505
0.00038896199999999997 0.332143667598806 8.519999999999506
0.0004084101 0.3787727367551443 8.539999999999504
0.00042883060499999997 0.43127797915437993 8.583999999999499
0.00045027213525 0.4900871015580657 8.647999999999492
0.0004727857420125 0.5555922873337521 8.723999999999483
0.000496425029113125 0.6281274973173758 8.811999999999474
0.0005212462805687813 0.707942980486678 8.907999999999463
0.0005473085945972203 0.7951772411476051 9.007999999999452
0.0005746740243270813 0.8898283203302022 9.107999999999441
0.0006034077255434354 0.9917255179515813 9.21199999999943
0.0006335781118206071 1.1005040013933436 9.307999999999419
0.0006652570174116375 1.2155848939972076 9.403999999999408
0.0006985198682822193 1.3361635025822582 9.4879999999994
0.0007334458616963303 1.4612082170202305 9.56799999999939
0.0007701181547811467 1.5894723285004497 9.635999999999383
0.000808624062520204 1.7195199734993027 9.691999999999377
0.0008490552656462143 1.8331209475152304 9.727999999999373
0.000891508028928525 1.9420202400468256 9.75199999999937
0.0009360834303749513 2.0465676015520886 9.75999999999937
0.000982887601893699 2.14598193380286 9.75599999999937
0.001032031981988384 2.23954089359191 9.739999999999371
0.0010836335810878032 2.3265960218729913 9.707999999999375
0.0011378152601421933 2.406590167262976 9.66399999999938
0.001194706023149303 2.4790720312983523 9.607999999999386
0.001254441324306768 2.543706682031235 9.543999999999393
0.0013171633905221065 2.6002813730247096 9.467999999999401
0.001383021560048212 2.6487062058095763 9.38399999999941
0.0014521726380506226 2.6890105604174344 9.287999999999421
0.0015247812699531538 2.7213352099890136 9.191999999999432
0.0016010203334508115 2.7459216460861 9.083999999999444
0.001681071350123352 2.7565823623738934 9.01999999999945
0.0017651249176295198 2.7614341116392813 8.967999999999456
0.0018533811635109958 2.7628242994016996 8.915999999999462
