# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_sly.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 4.396525e-04 7.893370e+00 1.700148e-01 1.713073e-01 8.064300e+00 1.069077e+07 4.477070e-04 8.208914e+00
 4.406643e-04 7.883656e+00 1.708189e-01 1.721291e-01 8.055400e+00 1.045122e+07 4.487534e-04 8.200423e+00
 4.416784e-04 7.874037e+00 1.716277e-01 1.729556e-01 8.046600e+00 1.021706e+07 4.498022e-04 8.192035e+00
 4.426949e-04 7.864514e+00 1.724410e-01 1.737869e-01 8.037900e+00 9.988193e+06 4.508536e-04 8.183750e+00
 4.437137e-04 7.855186e+00 1.732589e-01 1.746230e-01 8.029400e+00 9.764481e+06 4.519075e-04 8.175669e+00
 4.447349e-04 7.845853e+00 1.740813e-01 1.754639e-01 8.020900e+00 9.545945e+06 4.529639e-04 8.167589e+00
 4.457584e-04 7.836616e+00 1.749084e-01 1.763097e-01 8.012500e+00 9.332462e+06 4.540229e-04 8.159612e+00
 4.467843e-04 7.827473e+00 1.757402e-01 1.771602e-01 8.004200e+00 9.123652e+06 4.550845e-04 8.151737e+00
 4.478125e-04 7.818426e+00 1.765765e-01 1.780157e-01 7.996000e+00 8.919670e+06 4.561486e-04 8.143965e+00
 4.488431e-04 7.809375e+00 1.774176e-01 1.788760e-01 7.987800e+00 8.720402e+06 4.572152e-04 8.136193e+00
 4.498761e-04 7.800518e+00 1.782633e-01 1.797412e-01 7.979800e+00 8.525611e+06 4.582845e-04 8.128627e+00
 4.509114e-04 7.791757e+00 1.791137e-01 1.806113e-01 7.971900e+00 8.335197e+06 4.593563e-04 8.121163e+00
 4.519491e-04 7.782991e+00 1.799687e-01 1.814864e-01 7.964000e+00 8.149057e+06 4.604307e-04 8.113700e+00
 4.529892e-04 7.774420e+00 1.808285e-01 1.823664e-01 7.956300e+00 7.967096e+06 4.615077e-04 8.106441e+00
 4.540318e-04 7.765844e+00 1.816931e-01 1.832513e-01 7.948600e+00 7.789335e+06 4.625873e-04 8.099184e+00
 4.550767e-04 7.757364e+00 1.825623e-01 1.841413e-01 7.941000e+00 7.615677e+06 4.636694e-04 8.092029e+00
 4.561240e-04 7.748978e+00 1.834364e-01 1.850362e-01 7.933500e+00 7.446025e+06 4.647543e-04 8.084977e+00
 4.571737e-04 7.740688e+00 1.843152e-01 1.859361e-01 7.926100e+00 7.279946e+06 4.658417e-04 8.078029e+00
 4.582258e-04 7.732492e+00 1.851988e-01 1.868411e-01 7.918800e+00 7.117810e+06 4.669317e-04 8.071183e+00
 4.592804e-04 7.724292e+00 1.860872e-01 1.877511e-01 7.911500e+00 6.959302e+06 4.680244e-04 8.064338e+00
 4.603374e-04 7.716287e+00 1.869804e-01 1.886662e-01 7.904400e+00 6.804340e+06 4.691198e-04 8.057698e+00
 4.613968e-04 7.708277e+00 1.878785e-01 1.895864e-01 7.897300e+00 6.653056e+06 4.702177e-04 8.051059e+00
 4.624587e-04 7.700362e+00 1.887814e-01 1.905117e-01 7.890300e+00 6.504941e+06 4.713184e-04 8.044522e+00
 4.635230e-04 7.692541e+00 1.896892e-01 1.914421e-01 7.883400e+00 6.360240e+06 4.724216e-04 8.038089e+00
 4.645897e-04 7.684816e+00 1.906018e-01 1.923776e-01 7.876600e+00 6.218872e+06 4.735276e-04 8.031760e+00
 4.656589e-04 7.677186e+00 1.915194e-01 1.933183e-01 7.869900e+00 6.080760e+06 4.746362e-04 8.025533e+00
 4.667306e-04 7.669551e+00 1.924418e-01 1.942642e-01 7.863200e+00 5.945528e+06 4.757475e-04 8.019307e+00
 4.678047e-04 7.662011e+00 1.933692e-01 1.952152e-01 7.856600e+00 5.813510e+06 4.768615e-04 8.013184e+00
 4.688813e-04 7.654565e+00 1.943015e-01 1.961715e-01 7.850100e+00 5.684433e+06 4.779782e-04 8.007165e+00
 4.699604e-04 7.647215e+00 1.952388e-01 1.971329e-01 7.843700e+00 5.558421e+06 4.790977e-04 8.001248e+00
 4.710420e-04 7.639860e+00 1.961811e-01 1.980997e-01 7.837300e+00 5.435027e+06 4.802198e-04 7.995333e+00
 4.721260e-04 7.632699e+00 1.971283e-01 1.990716e-01 7.831100e+00 5.314473e+06 4.813446e-04 7.989623e+00
 4.732126e-04 7.625533e+00 1.980806e-01 2.000489e-01 7.824900e+00 5.196691e+06 4.824722e-04 7.983915e+00
 4.743016e-04 7.618362e+00 1.990379e-01 2.010315e-01 7.818700e+00 5.081438e+06 4.836024e-04 7.978207e+00
 4.753932e-04 7.611386e+00 2.000002e-01 2.020194e-01 7.812700e+00 4.968924e+06 4.847355e-04 7.972705e+00
 4.764873e-04 7.604405e+00 2.009675e-01 2.030126e-01 7.806700e+00 4.858822e+06 4.858712e-04 7.967203e+00
 4.775838e-04 7.597518e+00 2.019400e-01 2.040112e-01 7.800800e+00 4.751252e+06 4.870098e-04 7.961806e+00
 4.786830e-04 7.590726e+00 2.029175e-01 2.050151e-01 7.795000e+00 4.646069e+06 4.881511e-04 7.956511e+00
 4.797846e-04 7.583929e+00 2.039001e-01 2.060244e-01 7.789200e+00 4.543302e+06 4.892951e-04 7.951218e+00
 4.808888e-04 7.577327e+00 2.048878e-01 2.070392e-01 7.783600e+00 4.442733e+06 4.904420e-04 7.946131e+00
 4.819955e-04 7.570720e+00 2.058807e-01 2.080594e-01 7.778000e+00 4.344555e+06 4.915916e-04 7.941045e+00
 4.831047e-04 7.564107e+00 2.068787e-01 2.090850e-01 7.772400e+00 4.248473e+06 4.927440e-04 7.935960e+00
 4.842166e-04 7.557689e+00 2.078819e-01 2.101161e-01 7.767000e+00 4.154597e+06 4.938992e-04 7.931081e+00
 4.853309e-04 7.551265e+00 2.088902e-01 2.111527e-01 7.761600e+00 4.062877e+06 4.950572e-04 7.926203e+00
 4.864479e-04 7.544836e+00 2.099038e-01 2.121948e-01 7.756200e+00 3.973185e+06 4.962180e-04 7.921326e+00
 4.875674e-04 7.538602e+00 2.109225e-01 2.132424e-01 7.751000e+00 3.885478e+06 4.973817e-04 7.916655e+00
 4.886895e-04 7.532363e+00 2.119465e-01 2.142955e-01 7.745800e+00 3.799710e+06 4.985481e-04 7.911986e+00
 4.898141e-04 7.526218e+00 2.129758e-01 2.153542e-01 7.740700e+00 3.715838e+06 4.997174e-04 7.907420e+00
 4.909414e-04 7.520067e+00 2.140103e-01 2.164186e-01 7.735600e+00 3.633890e+06 5.008896e-04 7.902855e+00
 4.920713e-04 7.514011e+00 2.150500e-01 2.174885e-01 7.730600e+00 3.553682e+06 5.020646e-04 7.898394e+00
 4.932037e-04 7.508050e+00 2.160951e-01 2.185640e-01 7.725700e+00 3.475383e+06 5.032425e-04 7.894038e+00
 4.943388e-04 7.502083e+00 2.171455e-01 2.196451e-01 7.720800e+00 3.398879e+06 5.044232e-04 7.889682e+00
 4.954764e-04 7.496211e+00 2.182012e-01 2.207320e-01 7.716000e+00 3.323929e+06 5.056068e-04 7.885430e+00
 4.966167e-04 7.490433e+00 2.192622e-01 2.218245e-01 7.711300e+00 3.250763e+06 5.067933e-04 7.881282e+00
 4.977596e-04 7.484650e+00 2.203286e-01 2.229227e-01 7.706600e+00 3.179209e+06 5.079826e-04 7.877135e+00
 4.989052e-04 7.478961e+00 2.214004e-01 2.240266e-01 7.702000e+00 3.109232e+06 5.091749e-04 7.873092e+00
 5.000534e-04 7.473367e+00 2.224776e-01 2.251363e-01 7.697500e+00 3.040795e+06 5.103701e-04 7.869153e+00
 5.012042e-04 7.467767e+00 2.235602e-01 2.262517e-01 7.693000e+00 2.973866e+06 5.115682e-04 7.865216e+00
 5.023576e-04 7.462261e+00 2.246482e-01 2.273729e-01 7.688600e+00 2.908530e+06 5.127692e-04 7.861382e+00
 5.035138e-04 7.456750e+00 2.257416e-01 2.284999e-01 7.684200e+00 2.844572e+06 5.139731e-04 7.857550e+00
 5.046726e-04 7.451333e+00 2.268406e-01 2.296327e-01 7.679900e+00 2.782079e+06 5.151800e-04 7.853822e+00
 5.058340e-04 7.446011e+00 2.279450e-01 2.307713e-01 7.675700e+00 2.721016e+06 5.163898e-04 7.850198e+00
 5.069981e-04 7.440682e+00 2.290548e-01 2.319159e-01 7.671500e+00 2.661181e+06 5.176026e-04 7.846575e+00
 5.081649e-04 7.435448e+00 2.301702e-01 2.330663e-01 7.667400e+00 2.602773e+06 5.188183e-04 7.843057e+00
 5.093344e-04 7.430309e+00 2.312911e-01 2.342225e-01 7.663400e+00 2.545646e+06 5.200370e-04 7.839643e+00
 5.105066e-04 7.425164e+00 2.324176e-01 2.353848e-01 7.659400e+00 2.489773e+06 5.212587e-04 7.836231e+00
 5.116815e-04 7.420013e+00 2.335496e-01 2.365529e-01 7.655400e+00 2.435232e+06 5.224833e-04 7.832819e+00
 5.128591e-04 7.414956e+00 2.346872e-01 2.377270e-01 7.651500e+00 2.381781e+06 5.237110e-04 7.829512e+00
 5.140394e-04 7.409993e+00 2.358304e-01 2.389071e-01 7.647700e+00 2.329554e+06 5.249416e-04 7.826310e+00
 5.152224e-04 7.405025e+00 2.369792e-01 2.400932e-01 7.643900e+00 2.278522e+06 5.261753e-04 7.823109e+00
 5.164081e-04 7.400151e+00 2.381337e-01 2.412853e-01 7.640200e+00 2.228657e+06 5.274119e-04 7.820012e+00
 5.175966e-04 7.395271e+00 2.392937e-01 2.424834e-01 7.636500e+00 2.179785e+06 5.286516e-04 7.816917e+00
 5.187878e-04 7.390485e+00 2.404595e-01 2.436877e-01 7.632900e+00 2.132080e+06 5.298944e-04 7.813926e+00
 5.199817e-04 7.385793e+00 2.416309e-01 2.448980e-01 7.629400e+00 2.085418e+06 5.311401e-04 7.811040e+00
 5.211784e-04 7.381095e+00 2.428080e-01 2.461144e-01 7.625900e+00 2.039776e+06 5.323889e-04 7.808155e+00
 5.223778e-04 7.376392e+00 2.439908e-01 2.473369e-01 7.622400e+00 1.995132e+06 5.336408e-04 7.805272e+00
 5.235800e-04 7.371782e+00 2.451794e-01 2.485656e-01 7.619000e+00 1.951553e+06 5.348957e-04 7.802493e+00
 5.247850e-04 7.367267e+00 2.463737e-01 2.498004e-01 7.615700e+00 1.908882e+06 5.361538e-04 7.799820e+00
 5.259927e-04 7.362745e+00 2.475737e-01 2.510414e-01 7.612400e+00 1.867185e+06 5.374149e-04 7.797148e+00
 5.272032e-04 7.358318e+00 2.487796e-01 2.522886e-01 7.609200e+00 1.826356e+06 5.386790e-04 7.794580e+00
 5.284166e-04 7.353884e+00 2.499912e-01 2.535421e-01 7.606000e+00 1.786460e+06 5.399463e-04 7.792014e+00
 5.296326e-04 7.349545e+00 2.512087e-01 2.548018e-01 7.602900e+00 1.747475e+06 5.412167e-04 7.789553e+00
 5.308515e-04 7.345199e+00 2.524320e-01 2.560678e-01 7.599800e+00 1.709340e+06 5.424902e-04 7.787094e+00
 5.320732e-04 7.340848e+00 2.536611e-01 2.573400e-01 7.596700e+00 1.672036e+06 5.437669e-04 7.784636e+00
 5.332978e-04 7.336590e+00 2.548961e-01 2.586186e-01 7.593700e+00 1.635545e+06 5.450466e-04 7.782283e+00
