# MvsR for poly none
#   Gamma = 2.000000e+00
#   K     = 1.000000e+02
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 2.639277e-04 1.115850e+01 5.372304e-01 5.498524e-01 1.170220e+01 6.049668e+05 2.708935e-04 1.204231e+01
 2.648409e-04 1.115437e+01 5.387240e-01 5.514199e-01 1.169960e+01 5.953206e+05 2.718549e-04 1.204073e+01
 2.657572e-04 1.115024e+01 5.402207e-01 5.529908e-01 1.169700e+01 5.858335e+05 2.728199e-04 1.203916e+01
 2.666767e-04 1.114610e+01 5.417205e-01 5.545651e-01 1.169440e+01 5.765027e+05 2.737883e-04 1.203759e+01
 2.675993e-04 1.114196e+01 5.432232e-01 5.561429e-01 1.169180e+01 5.673258e+05 2.747603e-04 1.203602e+01
 2.685252e-04 1.113781e+01 5.447290e-01 5.577241e-01 1.168920e+01 5.583000e+05 2.757357e-04 1.203446e+01
 2.694542e-04 1.113356e+01 5.462379e-01 5.593087e-01 1.168650e+01 5.493838e+05 2.767148e-04 1.203279e+01
 2.703865e-04 1.112941e+01 5.477497e-01 5.608968e-01 1.168390e+01 5.406533e+05 2.776974e-04 1.203123e+01
 2.713220e-04 1.112516e+01 5.492646e-01 5.624882e-01 1.168120e+01 5.320287e+05 2.786836e-04 1.202957e+01
 2.722607e-04 1.112100e+01 5.507825e-01 5.640832e-01 1.167860e+01 5.235835e+05 2.796733e-04 1.202802e+01
 2.732027e-04 1.111674e+01 5.523035e-01 5.656815e-01 1.167590e+01 5.152407e+05 2.806667e-04 1.202637e+01
 2.741479e-04 1.111247e+01 5.538275e-01 5.672833e-01 1.167320e+01 5.070354e+05 2.816637e-04 1.202472e+01
 2.750965e-04 1.110830e+01 5.553545e-01 5.688885e-01 1.167060e+01 4.990008e+05 2.826643e-04 1.202317e+01
 2.760483e-04 1.110403e+01 5.568845e-01 5.704971e-01 1.166790e+01 4.910632e+05 2.836685e-04 1.202153e+01
 2.770033e-04 1.109976e+01 5.584175e-01 5.721092e-01 1.166520e+01 4.832564e+05 2.846764e-04 1.201989e+01
 2.779617e-04 1.109548e+01 5.599536e-01 5.737247e-01 1.166250e+01 4.755782e+05 2.856880e-04 1.201825e+01
 2.789234e-04 1.109120e+01 5.614927e-01 5.753436e-01 1.165980e+01 4.680262e+05 2.867033e-04 1.201661e+01
 2.798885e-04 1.108692e+01 5.630348e-01 5.769660e-01 1.165710e+01 4.605986e+05 2.877222e-04 1.201498e+01
 2.808568e-04 1.108253e+01 5.645799e-01 5.785918e-01 1.165430e+01 4.532609e+05 2.887449e-04 1.201324e+01
 2.818286e-04 1.107824e+01 5.661281e-01 5.802210e-01 1.165160e+01 4.460759e+05 2.897713e-04 1.201162e+01
 2.828036e-04 1.107395e+01 5.676792e-01 5.818537e-01 1.164890e+01 4.390089e+05 2.908014e-04 1.200999e+01
 2.837821e-04 1.106955e+01 5.692334e-01 5.834898e-01 1.164610e+01 4.320273e+05 2.918353e-04 1.200827e+01
 2.847639e-04 1.106525e+01 5.707906e-01 5.851293e-01 1.164340e+01 4.251910e+05 2.928730e-04 1.200665e+01
